Zustand Uhrzeit: 10:40:37: STR 10 | EIN 0 | BAU 2 | PAR 10 [STA 12] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:40:52: STR 9 | EIN 1 | BAU 2 | PAR 10 [STA 12] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:40:56: STR 9 | EIN 1 | BAU 1 | PAR 11 [STA 11] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:40:57: STR 9 | EIN 1 | BAU 0 | PAR 12 [STA 10] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:40:58: STR 9 | EIN 0 | BAU 1 | PAR 12 [STA 10] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:41:18: STR 9 | EIN 0 | BAU 0 | PAR 13 [STA 9] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:42:40: STR 8 | EIN 1 | BAU 0 | PAR 13 [STA 9] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:42:41: STR 8 | EIN 0 | BAU 1 | PAR 13 [STA 9] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:43:01: STR 8 | EIN 0 | BAU 0 | PAR 14 [STA 8] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:43:30: STR 7 | EIN 1 | BAU 0 | PAR 14 [STA 8] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:43:31: STR 7 | EIN 0 | BAU 1 | PAR 14 [STA 8] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:43:51: STR 7 | EIN 0 | BAU 0 | PAR 15 [STA 7] | AUS 0 || Ampel: STOP_AUSFAHRT [Grün: niemand (hiernach folgt AUSFAHRT)]
Zustand Uhrzeit: 10:44:24: STR 6 | EIN 1 | BAU 0 | PAR 15 [STA 7] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:45:02: STR 6 | EIN 1 | BAU 0 | PAR 14 [STA 7] | AUS 1 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:43:49: STR 6 | EIN 1 | BAU 1 | PAR 13 [STA 7] | AUS 2 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:38:06: STR 6 | EIN 1 | BAU 2 | PAR 12 [STA 7] | AUS 3 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:38:07: STR 6 | EIN 1 | BAU 3 | PAR 12 [STA 7] | AUS 2 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:38:08: STR 6 | EIN 1 | BAU 4 | PAR 12 [STA 7] | AUS 1 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:38:09: STR 6 | EIN 1 | BAU 5 | PAR 12 [STA 7] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:44:09: STR 6 | EIN 1 | BAU 4 | PAR 12 [STA 7] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:38:26: STR 6 | EIN 1 | BAU 3 | PAR 12 [STA 7] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:38:27: STR 6 | EIN 1 | BAU 2 | PAR 12 [STA 7] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:38:28: STR 6 | EIN 1 | BAU 1 | PAR 12 [STA 7] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:38:29: STR 6 | EIN 1 | BAU 0 | PAR 12 [STA 7] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:45:19: STR 6 | EIN 1 | BAU 0 | PAR 11 [STA 7] | AUS 1 || Ampel: STOP_EINFAHRT [Grün: niemand (hiernach folgt EINFAHRT)]
Zustand Uhrzeit: 10:45:29: STR 6 | EIN 1 | BAU 0 | PAR 11 [STA 7] | AUS 1 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:45:30: STR 6 | EIN 0 | BAU 1 | PAR 11 [STA 7] | AUS 1 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:45:50: STR 6 | EIN 0 | BAU 0 | PAR 12 [STA 6] | AUS 1 || Ampel: STOP_AUSFAHRT [Grün: niemand (hiernach folgt AUSFAHRT)]
Zustand Uhrzeit: 10:46:00: STR 6 | EIN 0 | BAU 0 | PAR 12 [STA 6] | AUS 1 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:46:01: STR 6 | EIN 0 | BAU 1 | PAR 12 [STA 6] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:46:21: STR 6 | EIN 0 | BAU 0 | PAR 12 [STA 6] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
